"Case","Condition","Response","Response_Text"
1.0,"High Power",1,"Egocentric"
2.0,"High Power",1,"Egocentric"
3.0,"High Power",1,"Egocentric"
4.0,"High Power",1,"Egocentric"
5.0,"High Power",1,"Egocentric"
6.0,"High Power",1,"Egocentric"
7.0,"High Power",1,"Egocentric"
8.0,"High Power",1,"Egocentric"
9.0,"High Power",1,"Egocentric"
10.0,"High Power",1,"Egocentric"
11.0,"High Power",1,"Egocentric"
12.0,"High Power",1,"Egocentric"
13.0,"High Power",1,"Egocentric"
14.0,"High Power",1,"Egocentric"
15.0,"High Power",1,"Egocentric"
16.0,"High Power",1,"Egocentric"
17.0,"High Power",1,"Egocentric"
18.0,"High Power",1,"Egocentric"
19.0,"High Power",1,"Egocentric"
20.0,"High Power",1,"Egocentric"
21.0,"High Power",1,"Egocentric"
22.0,"High Power",1,"Egocentric"
23.0,"High Power",1,"Egocentric"
24.0,"High Power",1,"Egocentric"
25.0,"High Power",1,"Egocentric"
26.0,"High Power",1,"Egocentric"
27.0,"High Power",1,"Egocentric"
28.0,"High Power",1,"Egocentric"
29.0,"High Power",1,"Egocentric"
30.0,"High Power",1,"Egocentric"
31.0,"High Power",1,"Egocentric"
32.0,"High Power",1,"Egocentric"
33.0,"High Power",1,"Egocentric"
34.0,"High Power",1,"Egocentric"
35.0,"High Power",1,"Egocentric"
36.0,"High Power",1,"Egocentric"
37.0,"High Power",1,"Egocentric"
38.0,"High Power",1,"Egocentric"
39.0,"High Power",1,"Egocentric"
40.0,"High Power",1,"Egocentric"
41.0,"High Power",1,"Egocentric"
42.0,"High Power",1,"Egocentric"
43.0,"High Power",1,"Egocentric"
44.0,"High Power",1,"Egocentric"
45.0,"High Power",1,"Egocentric"
46.0,"High Power",1,"Egocentric"
47.0,"High Power",1,"Egocentric"
48.0,"High Power",1,"Egocentric"
49.0,"High Power",0,"Non-Ego-Centric"
50.0,"High Power",0,"Non-Ego-Centric"
51.0,"High Power",0,"Non-Ego-Centric"
52.0,"High Power",0,"Non-Ego-Centric"
53.0,"High Power",0,"Non-Ego-Centric"
54.0,"High Power",0,"Non-Ego-Centric"
55.0,"High Power",0,"Non-Ego-Centric"
56.0,"High Power",0,"Non-Ego-Centric"
57.0,"High Power",0,"Non-Ego-Centric"
58.0,"High Power",0,"Non-Ego-Centric"
59.0,"High Power",0,"Non-Ego-Centric"
60.0,"High Power",0,"Non-Ego-Centric"
61.0,"High Power",0,"Non-Ego-Centric"
62.0,"High Power",0,"Non-Ego-Centric"
63.0,"High Power",0,"Non-Ego-Centric"
64.0,"High Power",0,"Non-Ego-Centric"
65.0,"High Power",0,"Non-Ego-Centric"
66.0,"High Power",0,"Non-Ego-Centric"
67.0,"High Power",0,"Non-Ego-Centric"
68.0,"High Power",0,"Non-Ego-Centric"
69.0,"High Power",0,"Non-Ego-Centric"
70.0,"High Power",0,"Non-Ego-Centric"
71.0,"High Power",0,"Non-Ego-Centric"
72.0,"High Power",0,"Non-Ego-Centric"
73.0,"High Power",0,"Non-Ego-Centric"
74.0,"High Power",0,"Non-Ego-Centric"
75.0,"High Power",0,"Non-Ego-Centric"
76.0,"High Power",0,"Non-Ego-Centric"
77.0,"High Power",0,"Non-Ego-Centric"
78.0,"High Power",0,"Non-Ego-Centric"
79.0,"High Power",0,"Non-Ego-Centric"
80.0,"High Power",0,"Non-Ego-Centric"
81.0,"High Power",0,"Non-Ego-Centric"
82.0,"High Power",0,"Non-Ego-Centric"
83.0,"High Power",0,"Non-Ego-Centric"
84.0,"High Power",0,"Non-Ego-Centric"
85.0,"High Power",0,"Non-Ego-Centric"
86.0,"High Power",0,"Non-Ego-Centric"
87.0,"High Power",0,"Non-Ego-Centric"
88.0,"High Power",0,"Non-Ego-Centric"
89.0,"High Power",0,"Non-Ego-Centric"
90.0,"High Power",0,"Non-Ego-Centric"
91.0,"High Power",0,"Non-Ego-Centric"
92.0,"High Power",0,"Non-Ego-Centric"
93.0,"High Power",0,"Non-Ego-Centric"
94.0,"High Power",0,"Non-Ego-Centric"
95.0,"High Power",0,"Non-Ego-Centric"
96.0,"High Power",0,"Non-Ego-Centric"
97.0,"High Power",0,"Non-Ego-Centric"
98.0,"High Power",0,"Non-Ego-Centric"
99.0,"High Power",0,"Non-Ego-Centric"
100.0,"High Power",0,"Non-Ego-Centric"
101.0,"High Power",0,"Non-Ego-Centric"
102.0,"High Power",0,"Non-Ego-Centric"
103.0,"High Power",0,"Non-Ego-Centric"
104.0,"High Power",0,"Non-Ego-Centric"
105.0,"High Power",0,"Non-Ego-Centric"
1.0,"Low Power",1,"Egocentric"
2.0,"Low Power",1,"Egocentric"
3.0,"Low Power",1,"Egocentric"
4.0,"Low Power",1,"Egocentric"
5.0,"Low Power",1,"Egocentric"
6.0,"Low Power",1,"Egocentric"
7.0,"Low Power",1,"Egocentric"
8.0,"Low Power",1,"Egocentric"
9.0,"Low Power",1,"Egocentric"
10.0,"Low Power",1,"Egocentric"
11.0,"Low Power",1,"Egocentric"
12.0,"Low Power",1,"Egocentric"
13.0,"Low Power",1,"Egocentric"
14.0,"Low Power",1,"Egocentric"
15.0,"Low Power",1,"Egocentric"
16.0,"Low Power",1,"Egocentric"
17.0,"Low Power",1,"Egocentric"
18.0,"Low Power",1,"Egocentric"
19.0,"Low Power",1,"Egocentric"
20.0,"Low Power",1,"Egocentric"
21.0,"Low Power",1,"Egocentric"
22.0,"Low Power",1,"Egocentric"
23.0,"Low Power",1,"Egocentric"
24.0,"Low Power",1,"Egocentric"
25.0,"Low Power",1,"Egocentric"
26.0,"Low Power",1,"Egocentric"
27.0,"Low Power",1,"Egocentric"
28.0,"Low Power",1,"Egocentric"
29.0,"Low Power",1,"Egocentric"
30.0,"Low Power",1,"Egocentric"
31.0,"Low Power",1,"Egocentric"
32.0,"Low Power",1,"Egocentric"
33.0,"Low Power",1,"Egocentric"
34.0,"Low Power",0,"Non-Ego-Centric"
35.0,"Low Power",0,"Non-Ego-Centric"
36.0,"Low Power",0,"Non-Ego-Centric"
37.0,"Low Power",0,"Non-Ego-Centric"
38.0,"Low Power",0,"Non-Ego-Centric"
39.0,"Low Power",0,"Non-Ego-Centric"
40.0,"Low Power",0,"Non-Ego-Centric"
41.0,"Low Power",0,"Non-Ego-Centric"
42.0,"Low Power",0,"Non-Ego-Centric"
43.0,"Low Power",0,"Non-Ego-Centric"
44.0,"Low Power",0,"Non-Ego-Centric"
45.0,"Low Power",0,"Non-Ego-Centric"
46.0,"Low Power",0,"Non-Ego-Centric"
47.0,"Low Power",0,"Non-Ego-Centric"
48.0,"Low Power",0,"Non-Ego-Centric"
49.0,"Low Power",0,"Non-Ego-Centric"
50.0,"Low Power",0,"Non-Ego-Centric"
51.0,"Low Power",0,"Non-Ego-Centric"
52.0,"Low Power",0,"Non-Ego-Centric"
53.0,"Low Power",0,"Non-Ego-Centric"
54.0,"Low Power",0,"Non-Ego-Centric"
55.0,"Low Power",0,"Non-Ego-Centric"
56.0,"Low Power",0,"Non-Ego-Centric"
57.0,"Low Power",0,"Non-Ego-Centric"
58.0,"Low Power",0,"Non-Ego-Centric"
59.0,"Low Power",0,"Non-Ego-Centric"
60.0,"Low Power",0,"Non-Ego-Centric"
61.0,"Low Power",0,"Non-Ego-Centric"
62.0,"Low Power",0,"Non-Ego-Centric"
63.0,"Low Power",0,"Non-Ego-Centric"
64.0,"Low Power",0,"Non-Ego-Centric"
65.0,"Low Power",0,"Non-Ego-Centric"
66.0,"Low Power",0,"Non-Ego-Centric"
67.0,"Low Power",0,"Non-Ego-Centric"
68.0,"Low Power",0,"Non-Ego-Centric"
69.0,"Low Power",0,"Non-Ego-Centric"
70.0,"Low Power",0,"Non-Ego-Centric"
71.0,"Low Power",0,"Non-Ego-Centric"
72.0,"Low Power",0,"Non-Ego-Centric"
73.0,"Low Power",0,"Non-Ego-Centric"
